,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(km/l),Engine(CC),Power(bhp),Seats,New_Price(Lakh),Brand
1452,Hyundai Elite i20 Petrol Asta,Kochi,13658.67,2017,13460,Petrol,Manual,First,18.6,1197,81.86,5.0,,Hyundai
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,10255.5,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5.0,,Hyundai
1454,Chevrolet Cruze LTZ,Kochi,9228.42,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5.0,,Chevrolet
1455,Toyota Corolla Altis 1.8 G,Mumbai,6898.32,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5.0,19.39,Toyota
1456,Maruti A-Star Vxi,Pune,3065.92,2011,70000,Petrol,Manual,First,19.0,998,66.1,5.0,,Maruti
1457,Nissan Micra Diesel XV Premium,Kolkata,3679.1,2012,32048,Diesel,Manual,First,23.08,1461,63.1,5.0,,Nissan
1458,Tata Nano LX,Pune,1839.55,2013,4700,Petrol,Manual,First,25.4,624,37.48,4.0,,Tata
1459,Maruti Swift Dzire Tour LDI,Delhi,4445.58,2014,71800,Diesel,Manual,First,23.4,1248,74.0,5.0,,Maruti
1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,41389.92,2016,45000,Diesel,Automatic,First,17.32,1968,184.0,5.0,,Audi
1462,Honda Amaze VX i-DTEC,Chennai,11497.2,2016,15388,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
1463,Chevrolet Optra 1.6 LS,Mumbai,2299.44,2004,98798,Petrol,Manual,First,14.7,1599,104.0,5.0,,Chevrolet
1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,60551.92,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5.0,,Audi
1465,Maruti Ritz VDi,Hyderabad,5196.73,2012,85112,Diesel,Manual,First,23.2,1248,73.94,5.0,,Maruti
1466,Mahindra Scorpio S6 7 Seater,Kochi,19008.7,2018,37804,Diesel,Manual,First,15.4,2179,120.0,7.0,,Mahindra
1467,Maruti Ciaz ZDi SHVS,Chennai,10500.78,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5.0,,Maruti
1468,Toyota Corolla Altis Aero D 4D J,Pune,8814.52,2011,116000,Diesel,Manual,Second,21.43,1364,138.0,5.0,,Toyota
1469,Tata Indica V2 eLS,Chennai,3065.92,2015,100073,Diesel,Manual,Second,25.0,1396,69.0,5.0,,Tata
1470,Maruti 800 Std BSIII,Jaipur,1379.66,2006,165000,Petrol,Manual,First,16.1,796,37.0,4.0,,Maruti
1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,5825.25,2015,22000,Petrol,Manual,First,16.47,1198,74.0,5.0,,Volkswagen
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,25063.9,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5.0,21.77,Hyundai
1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,25293.84,2012,152000,Diesel,Automatic,First,11.5,2982,169.0,7.0,,Toyota
1474,Maruti Baleno Zeta 1.2,Coimbatore,13336.75,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5.0,,Maruti
1475,Maruti Baleno Zeta 1.2,Mumbai,9351.06,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5.0,,Maruti
1476,Mini Cooper Countryman D,Hyderabad,33633.14,2013,51000,Diesel,Automatic,First,23.8,1998,112.0,5.0,,Mini
1477,Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,33725.12,2009,42000,Diesel,Automatic,Second,13.0,2987,210.0,5.0,,Mercedes-Benz
1478,Maruti Alto K10 LXI,Delhi,4062.34,2015,51000,Petrol,Manual,First,20.92,998,67.1,5.0,,Maruti
1479,Maruti Swift VXI Optional,Kochi,8078.7,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5.0,,Maruti
1480,Chevrolet Sail LT ABS,Kolkata,3801.74,2014,45000,Diesel,Manual,First,22.1,1248,74.0,5.0,,Chevrolet
1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,9197.76,2011,70000,Diesel,Manual,First,12.8,2494,102.0,8.0,,Toyota
1482,Toyota Fortuner 3.0 Diesel,Mumbai,13643.34,2009,92000,Diesel,Manual,First,11.5,2982,171.0,7.0,,Toyota
1483,BMW 3 Series 320d Sport Line,Hyderabad,27593.28,2012,57156,Diesel,Automatic,Second,18.88,1995,184.0,5.0,,BMW
1484,Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,17843.65,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5.0,,Skoda
1485,Toyota Fortuner 3.0 Diesel,Kolkata,13781.31,2019,80000,Diesel,Manual,First,11.5,2982,171.0,7.0,,Toyota
1486,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,8048.04,2009,74000,Diesel,Automatic,First,15.5,1896,105.0,5.0,,Volkswagen
1487,Hyundai i20 1.4 CRDi Asta,Kolkata,4522.23,2011,37000,Diesel,Manual,First,23.0,1396,90.0,5.0,,Hyundai
1488,Tata Manza Club Class Quadrajet90 LX,Mumbai,4062.34,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5.0,,Tata
1489,Volkswagen Vento Petrol Highline,Pune,6131.84,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5.0,,Volkswagen
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,19162.0,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5.0,18.35,Hyundai
1491,Maruti Ritz VXI,Mumbai,4982.12,2014,33000,Petrol,Manual,First,21.1,1197,85.8,5.0,,Maruti
1492,Honda CR-V 2.0L 2WD MT,Delhi,6131.84,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5.0,,Honda
1493,Mahindra XUV500 W8 2WD,Delhi,9581.0,2012,75000,Diesel,Manual,Second,15.1,2179,140.0,7.0,,Mahindra
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,8891.17,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5.0,9.19,Volkswagen
1495,Tata Zest Revotron 1.2 XT,Kolkata,7664.8,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5.0,8.09,Tata
1496,Jaguar XJ 3.0L Portfolio LWB,Kochi,90030.74,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5.0,,Jaguar
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,26811.47,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5.0,23.25,Toyota
1498,Maruti A-Star Vxi,Pune,2989.27,2011,69000,Petrol,Manual,Second,19.0,998,66.1,5.0,,Maruti
1499,Honda Accord VTi-L (AT),Mumbai,4598.88,2007,80000,Petrol,Automatic,First,11.1,2354,142.0,5.0,,Honda
1500,Hyundai i20 Asta (o),Delhi,8431.28,2014,42365,Petrol,Manual,First,17.0,1197,80.0,5.0,,Hyundai
1501,Toyota Fortuner 4x2 AT,Delhi,25293.84,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7.0,,Toyota
1502,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,22227.92,2011,40000,Petrol,Automatic,Second,11.74,1796,186.0,5.0,,Mercedes-Benz
1503,Maruti Baleno Alpha 1.3,Hyderabad,11941.76,2016,30112,Diesel,Manual,First,27.39,1248,74.0,5.0,,Maruti
1504,Maruti Ertiga VDI,Kochi,12677.58,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7.0,,Maruti
1505,Land Rover Range Rover Sport SE,Kochi,148804.43,2019,26013,Diesel,Automatic,First,12.65,2993,255.0,5.0,1.39,Land
1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,3295.86,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5.0,,Chevrolet
1507,Honda Civic 2006-2010 1.8 V AT,Hyderabad,4598.88,2008,95000,Petrol,Automatic,Second,12.9,1799,130.0,5.0,,Honda
1508,BMW X3 xDrive20d,Coimbatore,44133.92,2014,41089,Diesel,Automatic,First,16.09,1995,184.0,5.0,,BMW
1509,Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,8354.63,2011,41988,Diesel,Automatic,First,20.0,1968,138.1,5.0,,Skoda
1510,Maruti Swift Dzire VDI,Delhi,6055.19,2013,72486,Diesel,Manual,First,23.4,1248,74.0,5.0,,Maruti
1511,Volvo V40 Cross Country D3,Pune,24527.36,2013,92000,Diesel,Automatic,First,23.3,1984,150.0,5.0,,Volvo
1512,Maruti Swift Dzire ZXi,Delhi,6515.08,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5.0,,Maruti
1513,Land Rover Range Rover 2.2L Pure,Bangalore,52887.12,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5.0,,Land
1514,Honda Accord 2.4 AT,Mumbai,3985.7,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5.0,,Honda
1515,Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,20664.3,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8.0,,Toyota
1516,Toyota Fortuner 4x4 MT,Hyderabad,49208.02,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7.0,,Toyota
1517,Honda Jazz 1.2 E i VTEC,Kochi,9458.36,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5.0,,Honda
1518,Honda City 1.5 V MT,Kolkata,8431.28,2015,32000,Petrol,Manual,First,17.0,1497,118.0,5.0,,Honda
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,14026.58,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5.0,11.52,Maruti
1520,Nissan Sunny 2011-2014 Diesel XL,Pune,6898.32,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5.0,,Nissan
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,16096.08,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8.0,,Toyota
1522,Honda Brio S MT,Coimbatore,8232.0,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5.0,,Honda
1523,Volkswagen Vento Petrol Trendline,Bangalore,8354.63,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5.0,,Volkswagen
1524,Mahindra XUV500 W4,Mumbai,14179.88,2016,33000,Diesel,Manual,First,16.0,2179,140.0,7.0,,Mahindra
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,11803.79,2016,29200,Diesel,Manual,First,23.0,1498,98.96,5.0,13.23,Ford
1526,Skoda Yeti Ambition 4X2,Hyderabad,12248.35,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5.0,,Skoda
1527,Hyundai i10 Sportz,Chennai,4598.88,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5.0,,Hyundai
1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,6131.84,2005,299322,Diesel,Manual,First,12.8,2494,102.0,8.0,,Toyota
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,10255.5,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5.0,10.06,Tata
1530,Maruti Swift VDI,Delhi,6515.08,2014,56000,Diesel,Manual,First,22.9,1248,74.0,5.0,,Maruti
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,16096.08,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5.0,15.34,Skoda
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,34568.25,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8.0,24.01,Toyota
1533,Hyundai Verna 1.6 SX VTVT,Pune,7971.39,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5.0,,Hyundai
1534,Honda City i VTEC VX Option,Coimbatore,18196.24,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5.0,,Honda
1535,Honda City i DTEC SV,Hyderabad,10715.39,2014,65000,Diesel,Manual,First,26.0,1498,98.6,5.0,,Honda
1536,Volkswagen Vento Diesel Highline,Jaipur,7664.8,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5.0,,Volkswagen
1537,Audi Q5 2008-2012 3.0 TDI,Chennai,67450.24,2014,25000,Diesel,Automatic,First,12.19,2967,236.0,5.0,,Audi
1538,Maruti Alto 800 LXI,Chennai,4276.96,2015,21000,Petrol,Manual,First,22.74,796,47.3,5.0,,Maruti
1539,Tata Manza ELAN Quadrajet BS IV,Pune,4445.58,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5.0,,Tata
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,15099.66,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5.0,,Hyundai
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,75115.04,2014,52000,Diesel,Automatic,First,12.0,2987,224.0,7.0,,Mercedes-Benz
1542,Mahindra Thar CRDe,Jaipur,14179.88,2016,19000,Diesel,Manual,First,16.55,2498,105.0,6.0,11.39,Mahindra
1543,Hyundai Verna 1.6 CRDI,Mumbai,5748.6,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5.0,,Hyundai
1544,Ford Aspire Titanium Diesel,Coimbatore,11175.28,2017,30279,Diesel,Manual,First,26.1,1498,99.0,5.0,9.79,Ford
1545,Mini Cooper 3 DOOR D,Mumbai,36024.56,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4.0,35.0,Mini
1546,Maruti Omni 8 Seater BSIV,Hyderabad,3985.7,2013,34834,Petrol,Manual,First,14.0,796,35.0,5.0,,Maruti
1547,Mahindra Verito 1.5 D4 BSIV,Pune,4752.18,2015,90000,Diesel,Manual,Second,21.03,1461,65.0,5.0,9.26,Mahindra
1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,45958.14,2016,38730,Diesel,Automatic,First,14.21,2143,203.0,5.0,,Mercedes-Benz
1549,Renault Duster 110PS Diesel RxZ,Kochi,10316.82,2016,57390,Diesel,Manual,First,19.01,1461,108.45,5.0,,Renault
1550,Maruti Swift Dzire Tour LDI,Kolkata,5365.36,2016,100000,Diesel,Manual,First,23.4,1248,74.0,5.0,,Maruti
1551,Volkswagen Polo Petrol Highline 1.2L,Kolkata,3602.46,2011,50000,Petrol,Manual,First,16.47,1198,73.9,5.0,,Volkswagen
1552,Mahindra XUV500 W10 2WD,Coimbatore,24726.64,2017,64961,Diesel,Manual,First,16.0,2179,140.0,7.0,,Mahindra
1553,Volkswagen Polo 1.2 MPI Highline,Coimbatore,9044.46,2014,72465,Petrol,Manual,First,16.47,1198,74.0,5.0,,Volkswagen
1554,Maruti Ritz VXI,Hyderabad,5978.54,2012,68776,Petrol,Manual,First,21.1,1197,85.8,5.0,,Maruti
1556,Toyota Innova 2.5 GX 7 STR BSIV,Delhi,10654.07,2012,68000,Diesel,Manual,First,12.8,2494,102.0,7.0,,Toyota
1557,Honda City i DTec SV,Delhi,10730.72,2015,33000,Diesel,Manual,First,26.0,1498,98.6,5.0,,Honda
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,11083.3,2017,22389,Petrol,Manual,First,17.0,1198,73.75,5.0,8.68,Volkswagen
1559,Maruti SX4 ZDI Leather,Mumbai,5840.58,2012,90000,Diesel,Manual,First,21.5,1248,88.8,5.0,,Maruti
1560,Maruti Swift ZXI,Chennai,6898.32,2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5.0,,Maruti
1561,Hyundai Creta 1.6 CRDi SX,Pune,19315.3,2017,38767,Diesel,Manual,First,19.67,1582,126.2,5.0,,Hyundai
1562,Audi Q7 35 TDI Quattro Technology,Bangalore,73582.08,2015,21000,Diesel,Automatic,First,12.07,2967,241.4,7.0,,Audi
1563,Maruti Alto LXi BSIII,Coimbatore,4537.56,2010,59136,Petrol,Manual,First,19.7,796,46.3,5.0,,Maruti
1564,Honda Amaze SX i-DTEC,Kolkata,4982.12,2014,36000,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
1565,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,13030.16,2011,95000,Diesel,Automatic,Second,18.33,1968,167.7,5.0,,Volkswagen
1566,Hyundai Elantra CRDi SX AT,Mumbai,13413.4,2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5.0,,Hyundai
1567,Maruti Wagon R VXI BS IV,Kochi,4721.52,2011,36411,Petrol,Manual,First,18.9,998,67.1,5.0,,Maruti
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,63617.84,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7.0,66.39,Land
1569,Honda City i VTEC SV,Pune,10730.72,2016,27300,Petrol,Manual,First,17.8,1497,117.3,5.0,,Honda
1570,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,17629.04,2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5.0,,Mercedes-Benz
1571,Maruti Wagon R LX BS IV,Pune,3985.7,2011,71000,Petrol,Manual,First,20.51,998,67.04,5.0,,Maruti
1572,Hyundai Verna 1.6 CRDI,Kolkata,6591.73,2014,32000,Diesel,Manual,First,22.32,1582,126.3,5.0,,Hyundai
1573,Maruti Ertiga VXI CNG,Mumbai,12800.22,2017,19234,CNG,Manual,First,17.5,1373,80.46,7.0,,Maruti
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,38170.7,2017,50510,Diesel,Automatic,First,17.06,1968,141.0,5.0,36.45,Volkswagen
1575,BMW X1 sDrive 20d Exclusive,Pune,21078.2,2011,102000,Diesel,Automatic,First,15.06,1995,177.0,5.0,,BMW
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,5901.9,2014,42277,Diesel,Manual,First,24.0,1186,73.97,5.0,,Hyundai
1577,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,35641.32,2014,46000,Diesel,Automatic,First,13.0,2143,201.1,5.0,,Mercedes-Benz
1579,Hyundai Grand i10 Asta Option,Bangalore,8814.52,2015,50000,Petrol,Manual,First,18.9,1197,82.0,5.0,,Hyundai
1580,Hyundai i10 Magna 1.2,Mumbai,2529.38,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5.0,,Hyundai
1581,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,9964.24,2012,78000,Diesel,Manual,First,19.33,1968,138.1,5.0,,Volkswagen
1582,Skoda Yeti Elegance,Chennai,11497.2,2011,79000,Diesel,Manual,First,17.67,1968,138.08,5.0,,Skoda
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,111814.1,2019,6773,Diesel,Automatic,First,14.75,2967,245.0,7.0,91.38,Audi
1584,Toyota Fortuner 3.0 Diesel,Chennai,16862.56,2010,135000,Diesel,Manual,Second,11.5,2982,171.0,7.0,,Toyota
1585,Maruti Wagon R VXI Minor ABS,Kochi,4629.54,2013,36716,Petrol,Manual,First,18.9,1061,67.0,5.0,,Maruti
1586,Hyundai EON Era,Coimbatore,5089.43,2013,65060,Petrol,Manual,First,21.1,814,55.2,5.0,,Hyundai
1587,Honda Brio S MT,Delhi,4966.79,2013,33000,Petrol,Manual,First,19.4,1198,86.8,5.0,,Honda
1588,Maruti Alto 800 VXI,Kolkata,3602.46,2015,11110,Petrol,Manual,First,22.74,796,47.3,5.0,,Maruti
1589,Mahindra Bolero ZLX,Jaipur,8431.28,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7.0,11.15,Mahindra
1590,Honda City i VTEC SV,Mumbai,10347.48,2015,27030,Petrol,Manual,First,17.8,1497,117.3,5.0,,Honda
1591,Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,9427.7,2015,19600,Petrol,Manual,First,15.0,1598,103.52,5.0,,Skoda
1592,Maruti Swift VVT VXI,Pune,8354.63,2016,27755,Petrol,Manual,First,22.0,1197,81.8,5.0,,Maruti
1593,Hyundai EON Magna Plus,Hyderabad,3525.81,2013,20000,Petrol,Manual,Second,21.1,814,55.2,5.0,,Hyundai
1594,Maruti Swift Dzire ZXI,Kochi,9519.68,2015,24782,Petrol,Manual,First,20.85,1197,83.14,5.0,,Maruti
1595,Nissan Micra XV CVT,Coimbatore,7986.72,2014,47303,Petrol,Automatic,First,19.34,1198,76.0,5.0,,Nissan
1596,Audi Q7 4.2 FSI quattro,Delhi,18380.19,2008,71000,Petrol,Automatic,First,8.3,4134,250.0,7.0,,Audi
1597,Maruti Swift Vdi BSIII,Pune,4752.18,2010,135000,Diesel,Manual,First,17.8,1248,75.0,5.0,,Maruti
1598,Tata Xenon XT EX 4X2,Jaipur,11497.2,2017,1000,Diesel,Manual,First,13.49,2179,138.03,5.0,,Tata
1599,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,6131.84,2016,29000,Diesel,Manual,First,20.14,1498,88.8,5.0,,Volkswagen
1600,Honda City i VTEC SV,Kochi,11849.78,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5.0,,Honda
1601,Honda City i VTEC V,Bangalore,11957.09,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5.0,,Honda
1602,Maruti 800 AC BSIII,Hyderabad,1992.85,2011,83969,Petrol,Manual,First,16.1,796,37.0,4.0,,Maruti
1603,Volkswagen Polo 1.5 TDI Trendline,Jaipur,6775.68,2014,82621,Diesel,Manual,First,20.14,1498,88.8,5.0,,Volkswagen
1604,Chevrolet Captiva LTZ VCDi,Pune,6131.84,2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7.0,,Chevrolet
1605,Mahindra XUV500 W10 2WD,Kolkata,19928.48,2016,54000,Diesel,Manual,First,16.0,2179,140.0,7.0,,Mahindra
1606,Honda Amaze VX i-DTEC,Kochi,8247.32,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
1607,Hyundai i20 1.2 Sportz Option,Chennai,4982.12,2011,32200,Petrol,Manual,Second,17.0,1197,80.0,5.0,,Hyundai
1608,Maruti Wagon R AMT VXI,Jaipur,5932.56,2016,68630,Petrol,Automatic,First,20.51,998,67.0,5.0,,Maruti
1609,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,12646.92,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5.0,,Volkswagen
1610,Maruti Ciaz 1.4 Zeta,Mumbai,14225.87,2018,32644,Petrol,Manual,First,20.73,1373,91.1,5.0,,Maruti
1611,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,9581.0,2012,85000,Diesel,Automatic,First,11.79,2179,120.0,7.0,,Mahindra
1612,Chevrolet Aveo U-VA 1.2 LS,Mumbai,1762.9,2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5.0,,Chevrolet
1613,Maruti Ciaz ZXi Option,Kochi,11957.09,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5.0,,Maruti
1614,Hyundai i20 1.4 CRDi Asta,Hyderabad,6898.32,2012,60788,Diesel,Manual,First,23.0,1396,90.0,5.0,,Hyundai
1615,Honda Jazz 1.2 SV i VTEC,Kochi,11589.18,2018,18664,Petrol,Manual,First,18.7,1199,88.7,5.0,,Honda
1616,Mahindra XUV500 W10 2WD,Coimbatore,24650.0,2017,57847,Diesel,Manual,First,16.0,2179,140.0,7.0,,Mahindra
1617,Hyundai i20 1.2 Sportz,Bangalore,6898.32,2012,52237,Petrol,Manual,First,17.0,1197,80.0,5.0,,Hyundai
1618,Hyundai Verna 1.6 SX,Chennai,7664.8,2012,128000,Diesel,Manual,First,22.32,1582,126.32,5.0,,Hyundai
1619,Hyundai i10 Era 1.1,Delhi,3372.51,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5.0,,Hyundai
1620,Maruti Celerio VXI AT,Bangalore,6131.84,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5.0,,Maruti
1621,Skoda Fabia 1.2 TDI Ambition,Kolkata,3847.73,2012,98000,Diesel,Manual,First,20.86,1199,73.9,5.0,,Skoda
1622,Maruti Swift VDI BSIV,Delhi,7281.56,2015,60095,Diesel,Manual,First,25.2,1248,74.0,5.0,,Maruti
1623,Hyundai i10 Magna(O) with Sun Roof,Pune,3065.92,2008,68000,Petrol,Manual,Second,16.0,1086,66.7,5.0,,Hyundai
1624,Hyundai i10 Magna 1.2,Jaipur,3219.22,2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5.0,,Hyundai
1625,Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,9581.0,2013,38000,Petrol,Automatic,First,16.5,1499,110.0,5.0,,Ford
1626,Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Kochi,16249.38,2011,92239,Diesel,Automatic,Second,11.5,2987,210.0,5.0,,Mercedes-Benz
1627,Maruti Swift VDI BSIV,Ahmedabad,9197.76,2017,49224,Diesel,Manual,First,25.2,1248,74.0,5.0,,Maruti
1628,Maruti 800 Std BSIII,Jaipur,689.83,2004,12000,Petrol,Manual,Second,16.1,796,37.0,4.0,,Maruti
1629,Maruti Swift Lxi BSIII,Pune,3832.4,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5.0,,Maruti
1630,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,19545.24,2018,2500,Petrol,Manual,First,15.29,1591,121.3,5.0,,Hyundai
1631,BMW X1 M Sport sDrive 20d,Kochi,46433.36,2017,32838,Diesel,Automatic,First,17.05,1995,190.0,5.0,50.97,BMW
1632,Ford Ikon 1.3 Flair,Hyderabad,2452.74,2006,27076,Petrol,Manual,First,13.8,1299,70.0,5.0,,Ford
1633,Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,11558.52,2017,75445,Diesel,Manual,First,22.7,1498,89.84,5.0,,Ford
1634,Maruti Ciaz VXi Plus,Kochi,10485.45,2015,46601,Petrol,Manual,First,20.73,1373,91.1,5.0,,Maruti
1635,Volkswagen Passat Diesel Highline 2.0 TDI,Kolkata,9197.76,2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5.0,,Volkswagen
1636,Honda Jazz 1.5 VX i DTEC,Pune,12263.68,2017,27000,Diesel,Manual,First,27.3,1498,98.6,5.0,,Honda
1637,Audi A4 35 TDI Premium,Coimbatore,37925.43,2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5.0,,Audi
1638,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,8431.28,2017,34429,Diesel,Manual,First,24.0,1120,70.0,5.0,,Hyundai
1639,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,55186.56,2013,46000,Diesel,Automatic,First,12.0,2987,224.0,7.0,,Mercedes-Benz
1640,Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,18073.6,2013,80544,Diesel,Manual,First,12.99,2494,100.6,7.0,,Toyota
1641,Nissan Sunny 2011-2014 XL,Jaipur,4598.88,2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5.0,,Nissan
1642,Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,10347.48,2011,94821,Diesel,Automatic,Second,20.0,1968,138.1,5.0,,Skoda
1643,Chevrolet Aveo 1.4 LS,Jaipur,2146.14,2006,100000,Petrol,Manual,First,14.49,1399,92.7,5.0,,Chevrolet
1644,Honda Mobilio V i DTEC,Mumbai,8814.52,2014,57000,Diesel,Manual,First,24.2,1498,98.6,7.0,,Honda
1645,Maruti Ritz VDi,Hyderabad,5212.06,2010,79894,Diesel,Manual,First,21.1,1248,73.9,5.0,,Maruti
1646,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,7496.17,2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5.0,,Volkswagen
1647,Nissan Terrano XL,Mumbai,7588.15,2013,31000,Petrol,Manual,First,13.24,1598,102.5,5.0,,Nissan
1648,Maruti A-Star AT Vxi Aktiv,Coimbatore,5350.03,2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5.0,,Maruti
